measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,36475.46965264588,37537.313948069386,35089.743808320716
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.014404867036300116,0.014841864525032045,0.013894394458147101
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,9.622826507443808,9.902958429803794,9.257249326017302
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,284699.81947392144,360489.93678991345,244361.46941342292
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1981,0.021737670002434213,0.027228268166814912,0.018696299847674232
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,17.986687009072604,22.77493422701127,15.438201806864562
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,13581.928468244405,18030.682378257683,9896.12684189332
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.002115932606132919,0.002804771600179836,0.001534595013075901
Deaths,Sub-Saharan Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,3.324000811462904,4.412775622893961,2.421948674645404
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,25521.386697039332,34556.12073655274,19319.80192511207
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Percent,1982,0.0022493283747325576,0.003064163558766028,0.0016910907557525921
Deaths,South Asia - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,2.6843013619828486,3.6345612038680124,2.032027931571344
Deaths,Middle East & North Africa - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,11112.858043302236,15684.55410545569,8051.571062487299
