measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1982,36475.46965264588,37537.313948069386,35089.743808320716
Deaths,Latin America & Caribbean - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1982,9.622826507443808,9.902958429803794,9.257249326017302
Deaths,Latin America & Caribbean - WB,Both,All ages,Chronic obstructive pulmonary disease,Number,1982,50910.56372293552,53051.68464116679,48059.688091500495
Deaths,Latin America & Caribbean - WB,Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,13.431040827364198,13.995903605658919,12.678933127124937
Deaths,Latin America & Caribbean - WB,Both,All ages,Ischemic heart disease,Number,1982,270043.74230809556,280358.709383539,259503.2457618343
Deaths,Latin America & Caribbean - WB,Both,All ages,Ischemic heart disease,Rate,1982,71.24196361000574,73.96322092464007,68.46120792590102
Deaths,Latin America & Caribbean - WB,Both,All ages,Stroke,Number,1982,222111.1869655533,231579.15024541056,211684.53679353077
Deaths,Latin America & Caribbean - WB,Both,All ages,Stroke,Rate,1982,58.59657018499532,61.09437402106758,55.84584903967067
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1981,284699.81947392144,360489.93678991345,244361.46941342292
Deaths,East Asia & Pacific - WB,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,1981,17.986687009072604,22.77493422701127,15.438201806864562
Deaths,Sub-Saharan Africa - WB,Both,All ages,Ischemic heart disease,Number,1982,138250.82328008147,184300.43637270774,107023.22968319547
Deaths,Sub-Saharan Africa - WB,Both,All ages,Ischemic heart disease,Rate,1982,33.83509564513309,45.105141106300806,26.192547188279075
Deaths,Sub-Saharan Africa - WB,Both,All ages,Stroke,Number,1982,250047.20076954545,309802.70978486165,199058.136255134
Deaths,Sub-Saharan Africa - WB,Both,All ages,Stroke,Rate,1982,61.19580884300098,75.82019454203444,48.71689671959271
Deaths,Sub-Saharan Africa - WB,Both,All ages,Chronic obstructive pulmonary disease,Number,1982,42322.41791844317,61100.50742248429,27959.134679923638
Deaths,Sub-Saharan Africa - WB,Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,10.357862790464349,14.953556612228672,6.8426355345015075
Deaths,Middle East & North Africa - WB,Both,All ages,Chronic obstructive pulmonary disease,Number,1982,19869.4840780666,29005.45034467305,9990.322442687906
Deaths,Middle East & North Africa - WB,Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,9.740992841921544,14.219890313914178,4.897744653075081
Deaths,South Asia - WB,Both,All ages,Ischemic heart disease,Number,1982,556316.083241576,712447.7183119156,422970.2288739581
Deaths,South Asia - WB,Both,All ages,Ischemic heart disease,Rate,1982,58.51249533049723,74.93418767986087,44.48737738754126
Deaths,South Asia - WB,Both,All ages,Stroke,Number,1982,469330.71721398865,577367.5409508356,361353.6595057149
Deaths,South Asia - WB,Both,All ages,Stroke,Rate,1982,49.36350435785872,60.72665623293928,38.006638584462294
Deaths,South Asia - WB,Both,All ages,Chronic obstructive pulmonary disease,Number,1982,378635.5503770449,484325.7077419496,257925.318450988
Deaths,South Asia - WB,Both,All ages,Chronic obstructive pulmonary disease,Rate,1982,39.82432207299037,50.94065508148277,27.128200039701024
